lat,lon,precip
87,-180,392
87,-179,392
87,-178,392
87,-177,392
87,-176,393
87,-175,393
87,-174,393
87,-173,392
87,-172,392
87,-171,392
87,-170,392
87,-169,391
87,-168,391
87,-167,390
87,-166,390
87,-165,390
87,-164,391
87,-163,391
87,-162,391
87,-161,391
87,-160,392
87,-159,392
87,-158,393
87,-157,394
87,-156,393
87,-155,394
87,-154,393
87,-153,394
87,-152,394
87,-151,394
87,-150,393
87,-149,393
87,-148,392
87,-147,391
87,-146,390
87,-145,390
87,-144,389
87,-143,388
87,-142,387
87,-141,386
87,-140,383
87,-139,382
87,-138,379
87,-137,378
87,-136,375
87,-135,373
87,-134,370
87,-133,368
87,-132,365
87,-131,363
87,-130,362
87,-129,360
87,-128,360
87,-127,359
87,-126,357
87,-125,356
87,-124,355
87,-123,353
87,-122,351
87,-121,349
87,-120,348
87,-119,346
87,-118,345
87,-117,343
87,-116,341
87,-115,339
87,-114,337
87,-113,335
87,-112,332
87,-111,330
87,-110,327
87,-109,325
87,-108,322
87,-107,320
87,-106,317
87,-105,315
87,-104,314
87,-103,313
87,-102,311
87,-101,310
87,-100,309
87,-99,310
87,-98,309
87,-97,310
87,-96,310
87,-95,311
87,-94,312
87,-93,312
87,-92,313
87,-91,314
87,-90,315
87,-89,316
87,-88,317
87,-87,317
87,-86,318
87,-85,319
87,-84,320
87,-83,321
87,-82,322
87,-81,323
87,-80,324
87,-79,326
87,-78,327
87,-77,328
87,-76,329
87,-75,331
87,-74,332
87,-73,334
87,-72,336
87,-71,338
87,-70,341
87,-69,342
87,-68,345
87,-67,347
87,-66,349
87,-65,351
87,-64,353
87,-63,355
87,-62,356
87,-61,358
87,-60,358
87,-59,359
87,-58,359
87,-57,360
87,-56,361
87,-55,362
87,-54,363
87,-53,364
87,-52,365
87,-51,366
87,-50,367
87,-49,369
87,-48,370
87,-47,371
87,-46,373
87,-45,374
87,-44,376
87,-43,377
87,-42,379
87,-41,380
87,-40,381
87,-39,383
87,-38,384
87,-37,386
87,-36,387
87,-35,389
87,-34,390
87,-33,391
87,-32,392
87,-31,393
87,-30,394
87,-29,396
87,-28,396
87,-27,398
87,-26,399
87,-25,400
87,-24,401
87,-23,402
87,-22,404
87,-21,405
87,-20,406
87,-19,407
87,-18,407
87,-17,408
87,-16,410
87,-15,410
87,-14,411
87,-13,413
87,-12,414
87,-11,416
87,-10,418
87,-9,420
87,-8,422
87,-7,423
87,-6,425
87,-5,427
87,-4,428
87,-3,429
87,-2,430
87,-1,431
87,0,431
87,1,431
87,2,430
87,3,430
87,4,430
87,5,430
87,6,430
87,7,429
87,8,429
87,9,428
87,10,427
87,11,427
87,12,426
87,13,426
87,14,425
87,15,425
87,16,423
87,17,423
87,18,422
87,19,421
87,20,420
87,21,418
87,22,416
87,23,415
87,24,414
87,25,412
87,26,411
87,27,411
87,28,411
87,29,410
87,30,410
87,31,410
87,32,410
87,33,410
87,34,410
87,35,409
87,36,409
87,37,410
87,38,410
87,39,411
87,40,411
87,41,412
87,42,412
87,43,414
87,44,416
87,45,417
87,46,419
87,47,421
87,48,423
87,49,426
87,50,428
87,51,431
87,52,432
87,53,434
87,54,435
87,55,436
87,56,437
87,57,438
87,58,439
87,59,440
87,60,440
87,61,441
87,62,441
87,63,441
87,64,440
87,65,440
87,66,439
87,67,437
87,68,436
87,69,435
87,70,434
87,71,432
87,72,432
87,73,431
87,74,430
87,75,429
87,76,428
87,77,428
87,78,427
87,79,426
87,80,426
87,81,426
87,82,425
87,83,425
87,84,425
87,85,424
87,86,424
87,87,424
87,88,424
87,89,424
87,90,424
87,91,423
87,92,422
87,93,422
87,94,420
87,95,418
87,96,417
87,97,416
87,98,414
87,99,412
87,100,411
87,101,408
87,102,407
87,103,405
87,104,404
87,105,402
87,106,400
87,107,399
87,108,397
87,109,396
87,110,394
87,111,393
87,112,391
87,113,390
87,114,389
87,115,388
87,116,387
87,117,386
87,118,386
87,119,386
87,120,386
87,121,386
87,122,386
87,123,386
87,124,386
87,125,385
87,126,385
87,127,384
87,128,384
87,129,383
87,130,382
87,131,381
87,132,380
87,133,379
87,134,378
87,135,377
87,136,376
87,137,375
87,138,375
87,139,375
87,140,375
87,141,375
87,142,375
87,143,376
87,144,376
87,145,377
87,146,377
87,147,378
87,148,379
87,149,379
87,150,380
87,151,381
87,152,381
87,153,382
87,154,383
87,155,384
87,156,385
87,157,386
87,158,389
87,159,390
87,160,393
87,161,394
87,162,396
87,163,397
87,164,398
87,165,398
87,166,398
87,167,397
87,168,395
87,169,395
87,170,394
87,171,393
87,172,392
87,173,391
87,174,391
87,175,391
87,176,390
87,177,390
87,178,391
87,179,392
86,-180,384
86,-179,383
86,-178,382
86,-177,381
86,-176,379
86,-175,378
86,-174,377
86,-173,375
86,-172,374
86,-171,373
86,-170,371
86,-169,369
86,-168,366
86,-167,363
86,-166,361
86,-165,359
86,-164,357
86,-163,356
86,-162,353
86,-161,352
86,-160,350
86,-159,349
86,-158,347
86,-157,345
86,-156,343
86,-155,341
86,-154,340
86,-153,339
86,-152,338
86,-151,336
86,-150,334
86,-149,334
86,-148,333
86,-147,331
86,-146,330
86,-145,329
86,-144,327
86,-143,325
86,-142,324
86,-141,322
86,-140,321
86,-139,321
86,-138,320
86,-137,320
86,-136,320
86,-135,320
86,-134,321
86,-133,322
86,-132,323
86,-131,325
86,-130,326
86,-129,327
86,-128,328
86,-127,328
86,-126,328
86,-125,328
86,-124,327
86,-123,325
86,-122,323
86,-121,321
86,-120,318
86,-119,315
86,-118,313
86,-117,310
86,-116,306
86,-115,304
86,-114,300
86,-113,297
86,-112,291
86,-111,289
86,-110,285
86,-109,283
86,-108,281
86,-107,282
86,-106,285
86,-105,287
86,-104,288
86,-103,291
86,-102,294
86,-101,296
86,-100,297
86,-99,297
86,-98,298
86,-97,298
86,-96,298
86,-95,298
86,-94,298
86,-93,298
86,-92,298
86,-91,299
86,-90,299
86,-89,301
86,-88,301
86,-87,301
86,-86,301
86,-85,301
86,-84,301
86,-83,301
86,-82,302
86,-81,301
86,-80,301
86,-79,301
86,-78,301
86,-77,301
86,-76,301
86,-75,302
86,-74,302
86,-73,302
86,-72,303
86,-71,302
86,-70,303
86,-69,304
86,-68,304
86,-67,305
86,-66,306
86,-65,308
86,-64,310
86,-63,312
86,-62,312
86,-61,313
86,-60,314
86,-59,314
86,-58,315
86,-57,317
86,-56,317
86,-55,319
86,-54,319
86,-53,321
86,-52,321
86,-51,322
86,-50,324
86,-49,325
86,-48,326
86,-47,326
86,-46,328
86,-45,329
86,-44,330
86,-43,331
86,-42,331
86,-41,332
86,-40,333
86,-39,332
86,-38,331
86,-37,331
86,-36,331
86,-35,332
86,-34,332
86,-33,333
86,-32,334
86,-31,334
86,-30,335
86,-29,336
86,-28,337
86,-27,339
86,-26,340
86,-25,343
86,-24,346
86,-23,349
86,-22,354
86,-21,357
86,-20,362
86,-19,366
86,-18,369
86,-17,373
86,-16,378
86,-15,382
86,-14,385
86,-13,388
86,-12,390
86,-11,392
86,-10,395
86,-9,398
86,-8,400
86,-7,403
86,-6,408
86,-5,414
86,-4,417
86,-3,420
86,-2,422
86,-1,423
86,0,424
86,1,426
86,2,427
86,3,428
86,4,429
86,5,430
86,6,430
86,7,430
86,8,431
86,9,431
86,10,432
86,11,432
86,12,431
86,13,432
86,14,432
86,15,431
86,16,431
86,17,430
86,18,428
86,19,427
86,20,427
86,21,427
86,22,427
86,23,427
86,24,427
86,25,426
86,26,426
86,27,425
86,28,424
86,29,424
86,30,424
86,31,425
86,32,426
86,33,427
86,34,429
86,35,430
86,36,432
86,37,434
86,38,436
86,39,439
86,40,442
86,41,444
86,42,446
86,43,448
86,44,450
86,45,451
86,46,453
86,47,454
86,48,455
86,49,455
86,50,456
86,51,457
86,52,458
86,53,459
86,54,459
86,55,458
86,56,457
86,57,456
86,58,455
86,59,454
86,60,452
86,61,452
86,62,451
86,63,451
86,64,450
86,65,450
86,66,449
86,67,447
86,68,447
86,69,446
86,70,444
86,71,443
86,72,442
86,73,440
86,74,438
86,75,437
86,76,435
86,77,434
86,78,431
86,79,429
86,80,428
86,81,426
86,82,424
86,83,423
86,84,421
86,85,418
86,86,416
86,87,414
86,88,413
86,89,411
86,90,410
86,91,409
86,92,408
86,93,406
86,94,405
86,95,403
86,96,401
86,97,399
86,98,398
86,99,397
86,100,396
86,101,395
86,102,395
86,103,395
86,104,396
86,105,398
86,106,400
86,107,401
86,108,402
86,109,403
86,110,404
86,111,405
86,112,406
86,113,407
86,114,408
86,115,410
86,116,411
86,117,411
86,118,411
86,119,410
86,120,408
86,121,407
86,122,406
86,123,403
86,124,402
86,125,400
86,126,399
86,127,399
86,128,399
86,129,398
86,130,398
86,131,398
86,132,399
86,133,400
86,134,401
86,135,402
86,136,403
86,137,404
86,138,405
86,139,406
86,140,407
86,141,408
86,142,409
86,143,409
86,144,410
86,145,411
86,146,412
86,147,412
86,148,412
86,149,412
86,150,412
86,151,410
86,152,409
86,153,408
86,154,406
86,155,405
86,156,402
86,157,400
86,158,398
86,159,397
86,160,396
86,161,396
86,162,395
86,163,395
86,164,395
86,165,395
86,166,394
86,167,394
86,168,394
86,169,393
86,170,392
86,171,392
86,172,390
86,173,389
86,174,388
86,175,387
86,176,387
86,177,385
86,178,385
86,179,385
85,-180,390
85,-179,389
85,-178,387
85,-177,386
85,-176,384
85,-175,382
85,-174,379
85,-173,377
85,-172,373
85,-171,369
85,-170,366
